Unidade de Despesa;Grupo Orçamentário;Fonte de Recurso;Função;Subfunção;Elemento;Dotação Inicial (R$);Dotação Atual (R$);Empenhado (R$);Liquidado (R$);Pago (R$);Pago Restos (R$)
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339033 - Passagens e despesas com Locomoção;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;449051 - Obras e instalações;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339014 - Diárias - Civil;0,00;101841,07;101841,07;82816,16;82816,16;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339033 - Passagens e despesas com Locomoção;0,00;78636,07;78636,07;71688,25;71688,25;6045,01
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339036 - Outros Serviços de Terceiros - Pessoa Física;0,00;43865,84;43865,84;43865,84;43865,84;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;2022020,00;93004,26;93004,26;88190,86;88190,86;6065,06
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339092 - Despesas de Exercícios Anteriores;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339093 - Indenizações e Restituições;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;449052 - Equipamentos e Material Permanente;0,00;18646,55;18646,55;18646,55;18646,55;0,00
