Unidade de Despesa;Grupo Orçamentário;Fonte de Recurso;Função;Subfunção;Elemento;Dotação Inicial (R$);Dotação Atual (R$);Empenhado (R$);Liquidado (R$);Pago (R$);Pago Restos (R$)
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339033 - Passagens e despesas com Locomoção;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;449051 - Obras e instalações;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339014 - Diárias - Civil;0,00;179300,00;179300,00;167665,18;167665,18;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339030 - Material de Consumo;0,00;10654,00;10654,00;10654,00;10654,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339033 - Passagens e despesas com Locomoção;0,00;123420,38;123420,38;123074,11;123059,59;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339036 - Outros Serviços de Terceiros - Pessoa Física;0,00;37854,20;37854,20;37854,20;37854,20;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;1838200,00;170125,48;170125,48;169253,77;169253,77;4850,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339092 - Despesas de Exercícios Anteriores;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;449052 - Equipamentos e Material Permanente;0,00;77107,00;77107,00;77107,00;70807,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339014 - Diárias - Civil;0,00;30000,00;30000,00;5197,14;5197,14;0,00
