Unidade de Despesa;Grupo Orçamentário;Fonte de Recurso;Função;Subfunção;Elemento;Dotação Inicial (R$);Dotação Atual (R$);Empenhado (R$);Liquidado (R$);Pago (R$);Pago Restos (R$)
69 - Agência de Bibliotecas e Coleções Digitais;3 - Equipamentos Diversos e de Informática;1 - Tesouro;12 - Educação;364 - Ensino Superior;339040 - Serviços de Tecnologia da Informação e Comuni;0,00;3351,12;3351,12;3351,12;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339030 - Material de Consumo;0,00;1881,00;1881,00;1881,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339033 - Passagens e despesas com Locomoção;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339037 - Serviços Limpeza, Vigilância e Outros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;339039 - Outros Serviços de Terceiros - PJ;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;449051 - Obras e instalações;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;122 - Administração Geral;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339014 - Diárias - Civil;0,00;94851,55;94851,55;61042,96;61042,96;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339033 - Passagens e despesas com Locomoção;0,00;76751,10;76751,10;38135,82;38135,82;1019,98
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339036 - Outros Serviços de Terceiros - Pessoa Física;0,00;70500,00;70500,00;70500,00;70500,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339039 - Outros Serviços de Terceiros - PJ;2439891,00;66353,43;65768,18;52415,41;33334,16;18919,84
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339092 - Despesas de Exercícios Anteriores;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;339093 - Indenizações e Restituições;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;1 - Tesouro;12 - Educação;364 - Ensino Superior;449052 - Equipamentos e Material Permanente;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339014 - Diárias - Civil;0,00;0,00;0,00;0,00;0,00;0,00
92 - Agência USP de Cooperação Acadêmica Nacional e Internacional;0 - Básica;4 - Receita;12 - Educação;122 - Administração Geral;339030 - Material de Consumo;0,00;0,00;0,00;0,00;0,00;0,00
